Freq,Day,NEER,,,,,,,,
MTH,2547/11,86.06,,,,,,,,
MTH,2547/12,87.57,,,,,,,,
MTH,2548/01,89.81,,,,,,,,
MTH,2548/02,90.58,,,,,,,,
MTH,2548/03,90.02,,,,,,,,
MTH,2548/04,88.61,,,,,,,,
MTH,2548/05,88.07,,,,,,,,
MTH,2548/06,86.76,,,,,,,,
MTH,2548/07,85.84,,,,,,,,
MTH,2548/08,86.22,,,,,,,,
MTH,2548/09,86.71,,,,,,,,
MTH,2548/10,87.94,,,,,,,,
MTH,2548/11,88.29,,,,,,,,
MTH,2548/12,87.97,,,,,,,,
MTH,2549/01,89.90,,,,,,,,
MTH,2549/02,90.67,,,,,,,,
MTH,2549/03,91.52,,,,,,,,
MTH,2549/04,93.13,,,,,,,,
MTH,2549/05,91.45,,,,,,,,
MTH,2549/06,91.77,,,,,,,,
MTH,2549/07,92.53,,,,,,,,
MTH,2549/08,93.18,,,,,,,,
MTH,2549/09,93.94,,,,,,,,
MTH,2549/10,94.52,,,,,,,,
MTH,2549/11,95.60,,,,,,,,
MTH,2549/12,96.63,,,,,,,,
MTH,2550/01,96.92,,,,,,,,
MTH,2550/02,97.37,,,,,,,,
MTH,2550/03,98.60,,,,,,,,
MTH,2550/04,98.43,,,,,,,,
MTH,2550/05,99.03,,,,,,,,
MTH,2550/06,99.42,,,,,,,,
MTH,2550/07,101.04,,,,,,,,
MTH,2550/08,99.61,,,,,,,,
MTH,2550/09,98.52,,,,,,,,
MTH,2550/10,97.47,,,,,,,,
MTH,2550/11,96.77,,,,,,,,
MTH,2550/12,97.86,,,,,,,,
MTH,2551/01,98.06,,,,,,,,
MTH,2551/02,99.17,,,,,,,,
MTH,2551/03,100.51,,,,,,,,
MTH,2551/04,99.94,,,,,,,,
MTH,2551/05,99.10,,,,,,,,
MTH,2551/06,96.30,,,,,,,,
MTH,2551/07,94.92,,,,,,,,
MTH,2551/08,95.97,,,,,,,,
MTH,2551/09,96.37,,,,,,,,
MTH,2551/10,98.49,,,,,,,,
MTH,2551/11,98.41,,,,,,,,
MTH,2551/12,96.45,,,,,,,,
MTH,2552/01,97.22,,,,,,,,
MTH,2552/02,97.97,,,,,,,,
MTH,2552/03,97.62,,,,,,,,
MTH,2552/04,97.14,,,,,,,,
MTH,2552/05,97.07,,,,,,,,
MTH,2552/06,97.50,,,,,,,,
MTH,2552/07,97.32,,,,,,,,
MTH,2552/08,96.89,,,,,,,,
MTH,2552/09,96.18,,,,,,,,
MTH,2552/10,95.97,,,,,,,,
MTH,2552/11,95.84,,,,,,,,
MTH,2552/12,96.64,,,,,,,,
MTH,2553/01,97.40,,,,,,,,
MTH,2553/02,98.01,,,,,,,,
MTH,2553/03,99.54,,,,,,,,
MTH,2553/04,100.22,,,,,,,,
MTH,2553/05,101.54,,,,,,,,
MTH,2553/06,101.79,,,,,,,,
MTH,2553/07,100.37,,,,,,,,
MTH,2553/08,101.12,,,,,,,,
MTH,2553/09,103.13,,,,,,,,
MTH,2553/10,103.67,,,,,,,,
MTH,2553/11,104.26,,,,,,,,
MTH,2553/12,104.20,,,,,,,,
MTH,2554/01,101.73,,,,,,,,
MTH,2554/02,100.78,,,,,,,,
MTH,2554/03,101.21,,,,,,,,
MTH,2554/04,101.23,,,,,,,,
MTH,2554/05,100.11,,,,,,,,
MTH,2554/06,99.02,,,,,,,,
MTH,2554/07,99.89,,,,,,,,
MTH,2554/08,100.09,,,,,,,,
MTH,2554/09,100.15,,,,,,,,
MTH,2554/10,99.44,,,,,,,,
MTH,2554/11,99.65,,,,,,,,
MTH,2554/12,99.57,,,,,,,,
MTH,2555/01,92.55,,,,,,,,
MTH,2555/02,94.25,,,,,,,,
MTH,2555/03,95.29,,,,,,,,
MTH,2555/04,101.98,,,,,,,,
MTH,2555/05,101.40,,,,,,,,
MTH,2555/06,101.28,,,,,,,,
MTH,2555/07,101.12,,,,,,,,
MTH,2555/08,101.40,,,,,,,,
MTH,2555/09,101.93,,,,,,,,
MTH,2555/10,102.67,,,,,,,,
MTH,2555/11,103.08,,,,,,,,
MTH,2555/12,103.41,,,,,,,,
MTH,2556/01,106.14,,,,,,,,
MTH,2556/02,107.97,,,,,,,,
MTH,2556/03,110.07,,,,,,,,
MTH,2556/04,112.00,,,,,,,,
MTH,2556/05,110.25,,,,,,,,
MTH,2556/06,106.87,,,,,,,,
MTH,2556/07,106.77,,,,,,,,
MTH,2556/08,105.20,,,,,,,,
MTH,2556/09,105.03,,,,,,,,
MTH,2556/10,105.56,,,,,,,,
MTH,2556/11,104.98,,,,,,,,
MTH,2556/12,103.42,,,,,,,,
MTH,2557/01,102.13,,,,,,,,
MTH,2557/02,102.79,,,,,,,,
MTH,2557/03,103.34,,,,,,,,
MTH,2557/04,103.26,,,,,,,,
MTH,2557/05,102.25,,,,,,,,
MTH,2557/06,102.64,,,,,,,,
MTH,2557/07,103.73,,,,,,,,
MTH,2557/08,104.57,,,,,,,,
MTH,2557/09,105.52,,,,,,,,
MTH,2557/10,105.77,,,,,,,,
MTH,2557/11,106.89,,,,,,,,
MTH,2557/12,108.54,,,,,,,,
MTH,2558/01,110.33,,,,,,,,
MTH,2558/02,111.71,,,,,,,,
MTH,2558/03,112.84,,,,,,,,
MTH,2558/04,112.23,,,,,,,,
MTH,2558/05,108.49,,,,,,,,
MTH,2558/06,108.99,,,,,,,,
MTH,2558/07,108.11,,,,,,,,
MTH,2558/08,106.38,,,,,,,,
MTH,2558/09,105.29,,,,,,,,
MTH,2558/10,105.40,,,,,,,,
MTH,2558/11,106.34,,,,,,,,
MTH,2558/12,106.04,,,,,,,,
MTH,2559/01,106.54,,,,,,,,
MTH,2559/02,106.95,,,,,,,,
MTH,2559/03,106.48,,,,,,,,
MTH,2559/04,105.30,,,,,,,,
MTH,2559/05,104.98,,,,,,,,
MTH,2559/06,104.99,,,,,,,,
MTH,2559/07,105.63,,,,,,,,
MTH,2559/08,105.74,,,,,,,,
MTH,2559/09,106.07,,,,,,,,
MTH,2559/10,105.99,,,,,,,,
MTH,2559/11,107.14,,,,,,,,
MTH,2559/12,107.83,,,,,,,,
MTH,2560/01,108.30,,,,,,,,
MTH,2560/02,108.70,,,,,,,,
MTH,2560/03,108.97,,,,,,,,
MTH,2560/04,109.61,,,,,,,,
MTH,2560/05,109.48,,,,,,,,
MTH,2560/06,110.30,,,,,,,,
MTH,2560/07,110.89,,,,,,,,
MTH,2560/08,111.37,,,,,,,,
MTH,2560/09,111.18,,,,,,,,
MTH,2560/10,111.97,,,,,,,,
MTH,2560/11,113.11,,,,,,,,
MTH,2560/12,113.46,,,,,,,,
MTH,2561/01,114.14,,,,,,,,
MTH,2561/02,114.75,,,,,,,,
MTH,2561/03,115.45,,,,,,,,
MTH,2561/04,115.84,,,,,,,,
MTH,2561/05,115.37,,,,,,,,
MTH,2561/06,114.53,,,,,,,,
MTH,2561/07,113.26,,,,,,,,
MTH,2561/08,115.15,,,,,,,,
MTH,2561/09,117.28,,,,,,,,
MTH,2561/10,117.32,,,,,,,,
MTH,2561/11,116.57,,,,,,,,
MTH,2561/12,117.17,,,,,,,,
MTH,2562/01,119.11,,,,,,,,
MTH,2562/02,121.02,,,,,,,,
MTH,2562/03,119.68,,,,,,,,
MTH,2562/04,119.41,,,,,,,,
MTH,2562/05,120.52,,,,,,,,
MTH,2562/06,122.61,,,,,,,,
MTH,2562/07,123.59,,,,,,,,
MTH,2562/08,125.18,,,,,,,,
MTH,2562/09,126.22,,,,,,,,
MTH,2562/10,126.85,,,,,,,,
MTH,2562/11,126.92,,,,,,,,
MTH,2562/12,126.74,,,,,,,,
MTH,2563/01,125.14,,,,,,,,
MTH,2563/02,123.02,,,,,,,,
MTH,2563/03,121.71,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
